,Index Number,Name,Address,Project Status,Occupancy Year,Operator,Clientele - Families,Clientele - Seniors,Clientele - Other,Design - Accessible 1BR,Design - Accessible 2BR,Design - Accessible 3BR,Design - Accessible 4BR,Design - Accessible Studio,Design - Accessible Room,Design - Adaptable 1BR,Design - Adaptable 2BR,Design - Adaptable 3BR,Design - Adaptable 4BR,Design - Standard 1BR,Design - Standard 2BR,Design - Standard 3BR,Design - Standard 4BR,Design - Standard Studio,Design - Standard Room,URL,Geom,Local Area,Adaptable,Accessible,Standard
375,815,Chelsea Marine (Building 2),75 SW Marine Dr,Completed,2022,New Chelsea Society,25,0,29,3,0,0,0,0,0,0,0,0,0,12,19,10,0,10,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=815,POINT (-123.10773385 49.21271041),Marpole,0,3,51
376,819,320 E Hastings St,320 E Hastings St,Under Construction,,Unknown,0,0,105,0,0,0,0,0,0,0,0,0,0,49,0,0,0,56,0,,POINT (-123.09704179 49.28098552),Strathcona,0,0,105
377,831,Oakridge Centre - Phase 1 Building 2,650 W 41st Ave,Under Construction,,Sanford Housing Society,75,0,112,0,0,0,0,0,0,0,0,0,0,60,48,27,0,52,0,,,Other,0,0,187
378,839,220 Terminal,220 Terminal Ave,Completed,2017,City of Vancouver,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=839,POINT (-123.09968569 49.27237498),Strathcona,0,4,36
379,849,625-777 Pacific St,625-777 Pacific St,Approved,,More Than A Roof Housing Society,97,0,97,0,0,0,0,0,0,0,0,0,0,58,58,39,0,39,0,,POINT (-123.12818293 49.27489867),Downtown,0,0,194
380,852,1190 Burrard St,1190 Burrard St,Under Construction,,McLaren Housing Society of BC,48,0,106,8,0,0,0,0,0,0,0,0,0,11,44,4,0,87,0,,,Other,0,8,146
381,854,The Rupert,2050 Rupert St,Under Construction,,Hopehill,0,64,0,1,0,0,0,12,0,0,0,0,0,13,0,0,0,38,0,,POINT (-123.03326161 49.26621497),Hastings-Sunrise,0,13,51
382,857,5250 Ash St,5250 Ash St,Approved,,Unknown,39,0,41,0,2,2,0,0,0,0,0,0,0,25,27,12,0,16,0,,POINT (-123.1173014 49.2376526),South Cambie,0,4,80
383,859,3279 - 3297 Vanness Ave,3279 - 3297 Vanness Ave,Under Construction,,Unknown,37,0,65,0,0,0,0,0,0,0,0,0,0,13,26,11,0,52,0,,,Other,0,0,102
384,862,3819 Boundary,3819 Boundary Rd,Completed,2021,Lu'Ma Native Housing Society,6,0,17,0,0,0,0,0,0,0,0,0,0,16,6,0,0,1,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=862,POINT (-123.02424893 49.25040035),Renfrew-Collingwood,0,0,23
385,866,Alder,3625 Sawmill Crescent,Completed,2021,Catalyst Community Developments Society,83,0,36,4,5,6,0,3,0,0,0,0,0,20,42,30,0,9,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=866,POINT (-123.02444018 49.20668835),Killarney,0,18,101
386,869,1102 - 1138 E Georgia St,1102 - 1138 E Georgia St,Completed,2024,Anhart Community Housing Society,5,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=869,POINT (-123.08077596 49.27797526),Strathcona,0,0,10
387,871,Florence Manor,1325 Burnaby St,Completed,2000,Brightside Community Homes Foundation,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=871,POINT (-123.13613725 49.28256925),West End,0,0,15
388,883,1001 Kingsway,1001 Kingsway,Proposed,,Unknown,14,0,52,3,3,0,0,3,0,0,0,0,0,17,9,5,0,35,0,,POINT (-123.08348134 49.25412044),Kensington-Cedar Cottage,0,9,66
389,889,Aaron Webster Housing Cooperative,1885 E Pender St,Proposed,,Unknown,28,0,36,1,1,0,0,0,0,0,0,0,0,11,17,10,0,24,0,,POINT (-123.06602928 49.28048558),Grandview-Woodland,0,2,62
390,890,Heather Lands,4949-5255 Heather St & 657 W 37th Ave,Approved,,Unknown,270,0,270,0,0,0,0,0,0,0,0,0,0,161,162,108,0,109,0,,POINT (-123.12185811 49.24025538),South Cambie,0,0,540
391,891,546 W 13th Ave,546 W 13th Ave,Under Construction,,Soroptimist Club of Vancouver,47,0,88,0,0,0,0,0,0,0,0,0,0,37,34,13,0,51,0,,,Other,0,0,135
392,894,2929 Commercial Dr,2929 Commercial Dr,Approved,,Unknown,6,0,21,3,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,,POINT (-123.07023083 49.25839773),Kensington-Cedar Cottage,0,3,27
393,896,1317 Richard St & 508 Drake St,1317 Richard St & 508 Drake St,Under Construction,,Unknown,20,0,173,0,0,0,0,0,0,0,0,0,0,84,10,10,0,89,0,,POINT (-123.12635099 49.27484364),Downtown,0,0,193
394,898,Sunrise Village: East & West,2924 Venables St,Under Construction,,Brightside Community Homes Foundation,22,124,0,0,0,0,0,0,0,0,0,0,0,85,12,10,0,39,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=898,,Other,0,0,146
395,901,Little Mountain - Building EA,4902 James St,Under Construction,,BC Housing,69,0,1,0,0,0,0,0,0,0,0,0,0,1,30,29,10,0,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=901,,Other,0,0,70
396,912,Granville Villa,1025 Granville St,Completed,2021,Community Builders Group,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=912,POINT (-123.12384062 49.27910653),Downtown,0,0,77
397,913,Cow-aa,435 W Pender St,Completed,2021,Lu'Ma Native Housing Society,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=913,POINT (-123.11226379 49.28332247),Downtown,0,0,80
398,920,,1210 Seymour St,Under Construction,,Unknown,22,0,90,6,0,0,0,0,0,0,0,0,0,12,12,10,0,78,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=920,POINT (-123.125212 49.27614383),Downtown,0,6,112
399,935,Oakridge Transit Centre (OTC),949 W 41st Ave and 5469-5507 Willow St,Approved,,Unknown,165,0,165,0,0,0,0,0,0,0,0,0,0,99,99,66,0,66,0,,POINT (-123.12472797 49.23414343),South Cambie,0,0,330
400,937,,1810 Alberni St / 1818 Alberni,Under Construction,,Unknown,10,0,14,2,1,0,0,0,0,0,0,0,0,10,5,5,0,4,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=937,,Other,0,3,24
401,942,,1325-1333 E Georgia St,Approved,,Lu'Ma Native Housing Society,0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,29,0,,POINT (-123.07653322 49.27882739),Grandview-Woodland,0,6,29
402,945,Heather Place BUILDING C,774 W 13th Ave,Approved,,Metro Vancouver Housing Corporation,99,0,99,23,0,0,0,0,0,0,0,0,0,48,79,20,0,51,0,,,Other,0,23,198
403,947,,52-92 E Hastings St,Under Construction,,Lu'Ma Native Housing Society,28,0,84,0,0,0,0,0,0,0,0,0,0,21,25,3,0,63,0,,POINT (-123.10272097 49.28108972),Downtown,0,0,112
404,950,,128 - 138 E Cordova St,Under Construction,,Salvation Army,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,,POINT (-123.10109474 49.28205621),Downtown,0,0,46
405,952,Sch'eyk,3505 Kingsway,Completed,2022,Sch'eyk Housing Society,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=952,POINT (-123.02904189 49.23235486),Renfrew-Collingwood,0,0,24
406,953,Kingsway Supportive Housing,2075 Kingsway,Completed,2023,Connective Supportive Society,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=953,POINT (-123.06367433 49.2450181),Kensington-Cedar Cottage,0,0,65
407,971,,1111 Broughton St,Proposed,,Unknown,52,136,84,0,0,0,0,4,0,0,0,0,0,84,44,8,0,0,0,,POINT (-123.13509264 49.28476615),West End,0,4,136
408,984,388 Slocan,388 Slocan,Completed,2024,YWCA Vancouver,26,0,44,0,0,0,0,0,0,0,0,0,0,35,23,3,0,9,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=984,POINT (-123.04884634 49.28142299),Hastings-Sunrise,0,0,70
409,988,Sawmill Co-op,8559 Jack Uppal St,Completed,2025,Sawmill Co-op,23,0,94,0,0,0,0,0,0,0,0,0,0,38,3,20,0,56,0,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=988,POINT (-123.03388168 49.20633158),Killarney,0,0,117
